epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.535,2.26006,3.13737,1.85031,0.10534,0.06197,0.03237,0.0142,2.34493,3.48874,2.07921,0.000660767,0.000660767,0.000660767
2,235.968,2.19974,2.95899,1.79995,0.06659,0.10684,0.02825,0.01015,2.28568,3.55377,2.03772,0.00132086,0.00132086,0.00132086
3,350.773,2.18873,2.86911,1.80455,0.05834,0.05769,0.01677,0.00671,2.32048,3.31513,1.99033,0.00197436,0.00197436,0.00197436
4,465.068,2.1633,2.83664,1.80196,0.10656,0.06197,0.03858,0.01494,2.29988,3.35447,1.99358,0.0019703,0.0019703,0.0019703
5,578.683,2.12849,2.78277,1.73717,0.15929,0.07265,0.0485,0.02228,2.17121,3.19704,1.8492,0.0019604,0.0019604,0.0019604
6,691.694,2.12232,2.73172,1.72095,0.11467,0.08974,0.04842,0.02249,2.12673,3.01292,1.85613,0.0019505,0.0019505,0.0019505
7,804.024,2.06485,2.72835,1.74729,0.132,0.10043,0.04878,0.01942,2.09618,3.01317,1.84328,0.0019406,0.0019406,0.0019406
8,916.865,2.05554,2.71068,1.6938,0.15672,0.09615,0.06276,0.02651,2.1167,2.91026,1.91022,0.0019307,0.0019307,0.0019307
9,1029.34,1.99442,2.67211,1.66027,0.13454,0.04487,0.04824,0.02095,2.03966,2.91866,1.77881,0.0019208,0.0019208,0.0019208
10,1142.11,2.04,2.68751,1.67318,0.14579,0.08547,0.06548,0.02914,2.08596,2.88919,1.79338,0.0019109,0.0019109,0.0019109
11,1254.89,2.01772,2.63408,1.65845,0.17748,0.08974,0.06034,0.02678,2.03864,2.84771,1.77153,0.001901,0.001901,0.001901
12,1367.06,1.94488,2.60797,1.65795,0.12215,0.09402,0.06486,0.02841,2.07868,2.75293,1.79883,0.0018911,0.0018911,0.0018911
